,0
0,10
1,5
2,7
3,9
4,15
5,8
6,7
7,9
8,3
9,11
10,10
11,4
12,15
13,11
14,6
15,14
16,2
17,2
18,15
19,1
20,6
21,10
22,6
23,1
24,15
25,14
26,14
27,6
28,12
29,7
30,4
31,3
32,3
33,11
34,1
35,12
36,7
37,10
38,13
39,3
40,14
41,13
42,3
43,3
44,11
45,7
46,4
47,14
48,11
49,9
50,12
51,8
52,6
53,11
54,3
55,6
56,9
57,13
58,11
59,12
60,16
61,10
62,6
63,2
64,12
65,4
66,10
67,4
68,13
69,1
70,14
71,13
72,9
73,10
74,12
75,3
76,16
77,11
78,12
79,12
80,2
81,2
82,16
83,14
84,12
85,11
86,10
87,2
88,16
89,3
90,6
91,5
92,8
93,4
94,14
95,6
96,6
97,7
98,12
99,12
100,8
101,14
102,7
103,13
104,13
105,5
106,8
107,5
108,16
109,14
110,10
111,7
112,7
113,7
114,6
115,12
116,11
117,15
118,5
119,4
120,9
121,11
122,10
123,11
124,7
125,5
126,9
127,11
128,1
129,5
130,9
131,10
132,8
133,6
134,1
135,8
136,16
137,8
138,4
139,11
140,3
141,4
142,9
143,11
144,14
145,14
146,12
147,12
148,1
149,8
150,6
151,14
152,11
153,7
154,16
155,1
156,13
157,5
158,5
159,1
160,12
161,9
162,14
163,8
164,4
165,11
166,6
167,7
168,8
169,12
170,8
171,5
172,3
173,14
174,8
175,3
176,14
177,5
178,15
179,6
180,4
181,10
182,14
183,1
184,2
185,13
186,13
187,10
188,9
189,13
190,7
191,2
192,7
193,5
194,5
195,13
196,2
197,8
198,14
199,9
200,16
201,8
202,7
203,16
204,15
205,1
206,4
207,8
208,6
209,13
210,7
211,7
212,7
213,12
214,13
215,14
216,11
217,12
218,3
219,11
220,6
221,13
222,6
223,16
224,15
225,15
226,10
227,1
228,5
229,13
230,11
231,9
232,7
233,14
234,2
235,10
236,6
237,2
238,12
239,9
240,12
241,7
242,11
243,4
244,8
245,2
246,4
247,15
248,9
249,14
250,12
251,3
252,4
253,8
254,7
255,5
256,16
257,12
258,13
259,14
260,7
261,9
262,9
263,5
264,1
265,1
266,14
267,8
268,11
269,3
270,15
271,13
272,9
273,7
274,9
275,16
276,13
277,15
278,12
279,9
280,9
281,6
282,5
283,14
284,2
285,1
286,13
287,14
288,12
289,2
290,10
291,6
292,2
293,8
294,16
295,10
296,7
297,5
298,3
299,5
300,6
301,6
302,3
303,7
304,4
305,3
306,2
307,1
308,6
309,14
310,5
311,15
312,16
313,12
314,6
315,15
316,11
317,8
318,15
319,13
320,16
321,2
322,10
323,4
